Datetime,Open,High,Low,Close,Adj Close,Volume
2024-07-11 00:00:00+00:00,57729.890625,57729.890625,57729.890625,57729.890625,57729.890625,0
2024-07-11 00:02:00+00:00,57651.85546875,57651.85546875,57651.85546875,57651.85546875,57651.85546875,0
2024-07-11 00:03:00+00:00,57636.83203125,57636.83203125,57636.83203125,57636.83203125,57636.83203125,0
2024-07-11 00:04:00+00:00,57630.97265625,57630.97265625,57630.97265625,57630.97265625,57630.97265625,126976
2024-07-11 00:05:00+00:00,57630.93359375,57630.93359375,57630.93359375,57630.93359375,57630.93359375,0
2024-07-11 00:06:00+00:00,57621.828125,57621.828125,57621.828125,57621.828125,57621.828125,0
2024-07-11 00:07:00+00:00,57594.81640625,57594.81640625,57594.81640625,57594.81640625,57594.81640625,0
2024-07-11 00:09:00+00:00,57580.265625,57580.265625,57580.265625,57580.265625,57580.265625,970752
2024-07-11 00:11:00+00:00,57578.07421875,57578.07421875,57578.07421875,57578.07421875,57578.07421875,0
2024-07-11 00:12:00+00:00,57579.1015625,57579.1015625,57579.1015625,57579.1015625,57579.1015625,0
2024-07-11 00:13:00+00:00,57573.3125,57573.3125,57573.3125,57573.3125,57573.3125,0
2024-07-11 00:14:00+00:00,57560.9921875,57560.9921875,57560.9921875,57560.9921875,57560.9921875,312778752
2024-07-11 00:15:00+00:00,57550.56640625,57550.56640625,57550.56640625,57550.56640625,57550.56640625,4081664
2024-07-11 00:16:00+00:00,57571.34375,57571.34375,57571.34375,57571.34375,57571.34375,0
2024-07-11 00:17:00+00:00,57578.9609375,57578.9609375,57578.9609375,57578.9609375,57578.9609375,17997824
2024-07-11 00:18:00+00:00,57585.203125,57585.203125,57585.203125,57585.203125,57585.203125,0
2024-07-11 00:19:00+00:00,57487.59375,57487.59375,57487.59375,57487.59375,57487.59375,0
2024-07-11 00:21:00+00:00,57509.54296875,57509.54296875,57509.54296875,57509.54296875,57509.54296875,14690304
2024-07-11 00:23:00+00:00,57605.26953125,57605.26953125,57605.26953125,57605.26953125,57605.26953125,0
2024-07-11 00:24:00+00:00,57608.1328125,57608.1328125,57608.1328125,57608.1328125,57608.1328125,1400832
2024-07-11 00:25:00+00:00,57610.703125,57610.703125,57610.703125,57610.703125,57610.703125,0
2024-07-11 00:26:00+00:00,57587.24609375,57587.24609375,57587.24609375,57587.24609375,57587.24609375,0
2024-07-11 00:27:00+00:00,57553.97265625,57553.97265625,57553.97265625,57553.97265625,57553.97265625,0
2024-07-11 00:29:00+00:00,57520.9921875,57520.9921875,57520.9921875,57520.9921875,57520.9921875,0
2024-07-11 00:30:00+00:00,57492.1328125,57492.1328125,57492.1328125,57492.1328125,57492.1328125,0
2024-07-11 00:31:00+00:00,57464.8125,57464.8125,57464.8125,57464.8125,57464.8125,0
2024-07-11 00:33:00+00:00,57473.5859375,57473.5859375,57473.5859375,57473.5859375,57473.5859375,0
2024-07-11 00:35:00+00:00,57475.84765625,57475.84765625,57475.84765625,57475.84765625,57475.84765625,2723840
2024-07-11 00:36:00+00:00,57444.390625,57444.390625,57444.390625,57444.390625,57444.390625,1490944
2024-07-11 00:37:00+00:00,57406.5,57406.5,57406.5,57406.5,57406.5,0
2024-07-11 00:38:00+00:00,57416.02734375,57416.02734375,57416.02734375,57416.02734375,57416.02734375,0
2024-07-11 00:39:00+00:00,57405.73828125,57405.73828125,57405.73828125,57405.73828125,57405.73828125,1978368
2024-07-11 00:40:00+00:00,57410.7421875,57410.7421875,57410.7421875,57410.7421875,57410.7421875,0
2024-07-11 00:41:00+00:00,57407.9921875,57407.9921875,57407.9921875,57407.9921875,57407.9921875,4487168
2024-07-11 00:42:00+00:00,57409.16796875,57409.16796875,57409.16796875,57409.16796875,57409.16796875,8847360
