time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-07-11 10:54:00-04:00,EnhancedElliottWaveStrategy,45446a4c9dc64072b5b3ed5c62b4f8aa,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 10:54:00-04:00,EnhancedElliottWaveStrategy,45446a4c9dc64072b5b3ed5c62b4f8aa,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57889.5,0.03455608737957012,0.0
2024-07-11 11:16:00-04:00,EnhancedElliottWaveStrategy,571e5c7b7dc54c3aac4419b8b5948002,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 11:16:00-04:00,EnhancedElliottWaveStrategy,571e5c7b7dc54c3aac4419b8b5948002,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57798.56640625,6.966833066540667e-05,0.0
2024-07-11 11:17:00-04:00,EnhancedElliottWaveStrategy,daf52c80563449c5a1837b5f51bcc4c0,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 11:17:00-04:00,EnhancedElliottWaveStrategy,daf52c80563449c5a1837b5f51bcc4c0,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57820.3359375,0.03460070625608865,0.0
2024-07-11 11:18:00-04:00,EnhancedElliottWaveStrategy,a4a12429bb7d475e9efd9dda4fd333e0,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 11:18:00-04:00,EnhancedElliottWaveStrategy,a4a12429bb7d475e9efd9dda4fd333e0,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57927.109375,0.03453314179489962,0.0
2024-07-11 11:19:00-04:00,EnhancedElliottWaveStrategy,b5797903decf4dc8bb0ab401cb65c638,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 11:19:00-04:00,EnhancedElliottWaveStrategy,b5797903decf4dc8bb0ab401cb65c638,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57975.8125,6.756446118903053e-05,0.0
2024-07-11 11:20:00-04:00,EnhancedElliottWaveStrategy,0996a26d08914fd0b631708aa8b21eb9,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 11:20:00-04:00,EnhancedElliottWaveStrategy,0996a26d08914fd0b631708aa8b21eb9,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57975.8125,0.03450182574405458,0.0
2024-07-11 11:25:00-04:00,EnhancedElliottWaveStrategy,e20db685ea3f4db6ae3ec29fb8b88f75,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 11:25:00-04:00,EnhancedElliottWaveStrategy,e20db685ea3f4db6ae3ec29fb8b88f75,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,58085.3515625,0.03443028025505639,0.0
2024-07-11 11:37:00-04:00,EnhancedElliottWaveStrategy,c78492372b064d32a94ad5f721b3ec6f,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 11:37:00-04:00,EnhancedElliottWaveStrategy,c78492372b064d32a94ad5f721b3ec6f,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57661.8671875,0.03443028025505639,0.0
2024-07-11 11:38:00-04:00,EnhancedElliottWaveStrategy,67761592d8804646a4da8a9dd392955e,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 11:38:00-04:00,EnhancedElliottWaveStrategy,67761592d8804646a4da8a9dd392955e,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57691.82421875,0.0346835233291842,0.0
2024-07-11 11:40:00-04:00,EnhancedElliottWaveStrategy,48476be872dc4d9185416a7d43822572,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 11:40:00-04:00,EnhancedElliottWaveStrategy,48476be872dc4d9185416a7d43822572,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57628.046875,0.034726478798855646,0.0
2024-07-11 11:54:00-04:00,EnhancedElliottWaveStrategy,069a7fff8b61421ab4d3af01f63b3774,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 11:54:00-04:00,EnhancedElliottWaveStrategy,069a7fff8b61421ab4d3af01f63b3774,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57323.0234375,0.034726478798855646,0.0
2024-07-11 11:55:00-04:00,EnhancedElliottWaveStrategy,7ddb5dae5c0c4ddfa97ba724ee68b8b0,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 11:55:00-04:00,EnhancedElliottWaveStrategy,7ddb5dae5c0c4ddfa97ba724ee68b8b0,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57323.0234375,0.03492954514305896,0.0
2024-07-11 12:02:00-04:00,EnhancedElliottWaveStrategy,c26db37e4ede4bf9b51e38fbe4470a1f,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:02:00-04:00,EnhancedElliottWaveStrategy,c26db37e4ede4bf9b51e38fbe4470a1f,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57404.1171875,0.017437676467991537,0.0
2024-07-11 12:03:00-04:00,EnhancedElliottWaveStrategy,ee9daa2619df4f81a7b6d8d203e48795,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:03:00-04:00,EnhancedElliottWaveStrategy,ee9daa2619df4f81a7b6d8d203e48795,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57404.1171875,0.01743767647653508,0.0
2024-07-11 12:04:00-04:00,EnhancedElliottWaveStrategy,17b410c3748a4682b5dc1a3797aace27,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:04:00-04:00,EnhancedElliottWaveStrategy,17b410c3748a4682b5dc1a3797aace27,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57404.1171875,5.419219853234139e-05,0.0
2024-07-11 12:05:00-04:00,EnhancedElliottWaveStrategy,a419462e159b4930a9bbd99019972b2f,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:05:00-04:00,EnhancedElliottWaveStrategy,a419462e159b4930a9bbd99019972b2f,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57404.1171875,0.017437676485105177,0.0
2024-07-11 12:13:00-04:00,EnhancedElliottWaveStrategy,e519ae2772964c6d853551f51fcf6da1,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:13:00-04:00,EnhancedElliottWaveStrategy,e519ae2772964c6d853551f51fcf6da1,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57472.52734375,0.017437676485105177,0.0
2024-07-11 12:14:00-04:00,EnhancedElliottWaveStrategy,01037f5b33934b80b986a42108d4dee0,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:14:00-04:00,EnhancedElliottWaveStrategy,01037f5b33934b80b986a42108d4dee0,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57472.52734375,0.03482933925000168,0.0
2024-07-11 12:15:00-04:00,EnhancedElliottWaveStrategy,b42b4dd9621e44d4abacd4d44567349e,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:15:00-04:00,EnhancedElliottWaveStrategy,b42b4dd9621e44d4abacd4d44567349e,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57527.8046875,0.01739561719315812,0.0
2024-07-11 12:26:00-04:00,EnhancedElliottWaveStrategy,4274b93a4066467985b80fd79576c2a3,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:26:00-04:00,EnhancedElliottWaveStrategy,4274b93a4066467985b80fd79576c2a3,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57556.05078125,0.01739561719315812,0.0
2024-07-11 12:27:00-04:00,EnhancedElliottWaveStrategy,370e44137af5414a80361b709887d09a,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:27:00-04:00,EnhancedElliottWaveStrategy,370e44137af5414a80361b709887d09a,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57590.76953125,0.03474808996409833,0.0
2024-07-11 12:31:00-04:00,EnhancedElliottWaveStrategy,95b28930853541e799a357d63da1e0b9,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:31:00-04:00,EnhancedElliottWaveStrategy,95b28930853541e799a357d63da1e0b9,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57627.75,0.03472224823002976,0.0
2024-07-11 12:32:00-04:00,EnhancedElliottWaveStrategy,201d01f4629542648f375f78b5c2652a,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:32:00-04:00,EnhancedElliottWaveStrategy,201d01f4629542648f375f78b5c2652a,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57638.671875,0.0347147540187151,0.0
2024-07-11 12:33:00-04:00,EnhancedElliottWaveStrategy,2c2e7df658e84c18a88cce3391f7f40e,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:33:00-04:00,EnhancedElliottWaveStrategy,2c2e7df658e84c18a88cce3391f7f40e,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57683.625,7.494211314663934e-06,0.0
2024-07-11 12:34:00-04:00,EnhancedElliottWaveStrategy,cadc4d052a82493197767a8e94545f73,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:34:00-04:00,EnhancedElliottWaveStrategy,cadc4d052a82493197767a8e94545f73,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,57716.3671875,0.03466058931005457,0.0
2024-07-11 12:44:00-04:00,EnhancedElliottWaveStrategy,3d8bb92d54834e309053a0d6eeeaadf1,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:44:00-04:00,EnhancedElliottWaveStrategy,3d8bb92d54834e309053a0d6eeeaadf1,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57603.359375,0.017369030151544926,0.0
2024-07-11 12:56:00-04:00,EnhancedElliottWaveStrategy,0075167880a54f0984632bbc45fab481,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:56:00-04:00,EnhancedElliottWaveStrategy,0075167880a54f0984632bbc45fab481,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57662.80078125,0.017291559158509644,0.0
2024-07-11 12:57:00-04:00,EnhancedElliottWaveStrategy,34879d0b8fe346d594b2c378e0ba9d96,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 12:57:00-04:00,EnhancedElliottWaveStrategy,34879d0b8fe346d594b2c378e0ba9d96,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,57662.80078125,0.017348457537059086,0.0
2024-07-11 12:59:00-04:00,EnhancedElliottWaveStrategy,e485f2dd47b24fa1a1be8b98a6b55767,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
