time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-07-11 09:30:00-04:00,EnhancedElliottWaveStrategy,b9dcfeaf84d14d9ba273dfb72290a095,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 09:30:00-04:00,EnhancedElliottWaveStrategy,b9dcfeaf84d14d9ba273dfb72290a095,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,58786.14453125,0.03402162220277644,0.0
2024-07-11 09:34:00-04:00,EnhancedElliottWaveStrategy,2e76c4aa24b9475590b53a12915b6d50,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 09:34:00-04:00,EnhancedElliottWaveStrategy,2e76c4aa24b9475590b53a12915b6d50,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,58830.44921875,0.033995488341989004,0.0
2024-07-11 09:37:00-04:00,EnhancedElliottWaveStrategy,d14dda52989a4fd389665b26683efb9c,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 09:37:00-04:00,EnhancedElliottWaveStrategy,d14dda52989a4fd389665b26683efb9c,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,58838.8125,0.03399065617898926,0.0
2024-07-11 09:38:00-04:00,EnhancedElliottWaveStrategy,6ed78ba0723e4fe6b73c2b348e2bb2ce,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 09:38:00-04:00,EnhancedElliottWaveStrategy,6ed78ba0723e4fe6b73c2b348e2bb2ce,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,58838.8125,4.832162999741929e-06,0.0
2024-07-11 09:39:00-04:00,EnhancedElliottWaveStrategy,a78a8b394e854b609480dfc0f6b0dadb,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 09:39:00-04:00,EnhancedElliottWaveStrategy,a78a8b394e854b609480dfc0f6b0dadb,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,58695.6484375,0.034075222110722406,0.0
2024-07-11 09:40:00-04:00,EnhancedElliottWaveStrategy,e8e0778a7ab14c87ab417a177cc8297d,BTC-USD,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 09:40:00-04:00,EnhancedElliottWaveStrategy,e8e0778a7ab14c87ab417a177cc8297d,BTC-USD,buy,market,fill,1,gtc,0.0,1,crypto,58695.6484375,0.03407522212886431,0.0
2024-07-11 09:43:00-04:00,EnhancedElliottWaveStrategy,66f74a86e7d84e58b6fe3eae5740f1f9,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 09:43:00-04:00,EnhancedElliottWaveStrategy,66f74a86e7d84e58b6fe3eae5740f1f9,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,58425.203125,0.01711805154469079,0.0
2024-07-11 09:50:00-04:00,EnhancedElliottWaveStrategy,943549b318384c0191f8d28546a7f9ef,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 09:50:00-04:00,EnhancedElliottWaveStrategy,943549b318384c0191f8d28546a7f9ef,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,58543.62109375,0.01695717058417352,0.0
2024-07-11 09:51:00-04:00,EnhancedElliottWaveStrategy,e46f44e2abc54b4abdcd38503fe1404d,BTC-USD,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-07-11 09:51:00-04:00,EnhancedElliottWaveStrategy,e46f44e2abc54b4abdcd38503fe1404d,BTC-USD,sell,market,fill,1,gtc,0.0,1,crypto,58543.62109375,0.0341647838188226,0.0
