datetime,open,high,low,close,volume
2024-07-10 20:04:00-04:00,57630.97265625,57630.97265625,57630.97265625,57630.97265625,126976.0
2024-07-10 20:09:00-04:00,57580.265625,57580.265625,57580.265625,57580.265625,970752.0
2024-07-10 20:14:00-04:00,57560.9921875,57560.9921875,57560.9921875,57560.9921875,312778752.0
2024-07-10 20:15:00-04:00,57550.56640625,57550.56640625,57550.56640625,57550.56640625,4081664.0
2024-07-10 20:17:00-04:00,57578.9609375,57578.9609375,57578.9609375,57578.9609375,17997824.0
2024-07-10 20:21:00-04:00,57509.54296875,57509.54296875,57509.54296875,57509.54296875,14690304.0
2024-07-10 20:24:00-04:00,57608.1328125,57608.1328125,57608.1328125,57608.1328125,1400832.0
2024-07-10 20:35:00-04:00,57475.84765625,57475.84765625,57475.84765625,57475.84765625,2723840.0
2024-07-10 20:36:00-04:00,57444.390625,57444.390625,57444.390625,57444.390625,1490944.0
2024-07-10 20:39:00-04:00,57405.73828125,57405.73828125,57405.73828125,57405.73828125,1978368.0
2024-07-10 20:41:00-04:00,57407.9921875,57407.9921875,57407.9921875,57407.9921875,4487168.0
2024-07-10 20:42:00-04:00,57409.16796875,57409.16796875,57409.16796875,57409.16796875,8847360.0
2024-07-10 20:44:00-04:00,57397.12109375,57397.12109375,57397.12109375,57397.12109375,10252288.0
2024-07-10 20:46:00-04:00,57420.1875,57420.1875,57420.1875,57420.1875,1370112.0
2024-07-10 20:48:00-04:00,57443.10546875,57443.10546875,57443.10546875,57443.10546875,3739648.0
2024-07-10 20:49:00-04:00,57443.53515625,57443.53515625,57443.53515625,57443.53515625,36864.0
2024-07-10 20:50:00-04:00,57455.48046875,57455.48046875,57455.48046875,57455.48046875,5064704.0
2024-07-10 20:55:00-04:00,57495.375,57495.375,57495.375,57495.375,1384448.0
2024-07-10 20:57:00-04:00,57543.171875,57543.171875,57543.171875,57543.171875,2072576.0
2024-07-10 20:59:00-04:00,57614.4453125,57614.4453125,57614.4453125,57614.4453125,2285568.0
2024-07-10 21:13:00-04:00,57556.96875,57556.96875,57556.96875,57556.96875,1978368.0
2024-07-10 21:17:00-04:00,57511.80078125,57511.80078125,57511.80078125,57511.80078125,3934208.0
2024-07-10 21:21:00-04:00,57502.453125,57502.453125,57502.453125,57502.453125,8681472.0
