Datetime,Open,High,Low,Close,Adj Close,Volume
2024-05-04 20:15:00+00:00,64139.109375,64139.109375,64023.2421875,64023.2421875,64023.2421875,0
2024-05-04 20:20:00+00:00,64052.046875,64073.51953125,64043.01171875,64043.01171875,64043.01171875,0
2024-05-04 20:25:00+00:00,64055.9765625,64072.9921875,64055.9765625,64061.40234375,64061.40234375,0
2024-05-04 20:30:00+00:00,64059.7578125,64059.7578125,63996.84765625,63996.84765625,63996.84765625,0
2024-05-04 20:35:00+00:00,63998.9765625,63998.9765625,63900.42578125,63900.42578125,63900.42578125,0
2024-05-04 20:40:00+00:00,63897.9296875,63961.5234375,63897.9296875,63961.5234375,63961.5234375,0
2024-05-04 20:45:00+00:00,63932.09765625,63974.95703125,63932.09765625,63954.4453125,63954.4453125,0
2024-05-04 20:50:00+00:00,63911.33203125,63911.33203125,63888.73828125,63897.546875,63897.546875,0
2024-05-04 20:55:00+00:00,63914.6640625,63925.90234375,63898.890625,63898.890625,63898.890625,0
2024-05-04 21:00:00+00:00,63878.1171875,63888.6484375,63873.51171875,63880.7265625,63880.7265625,0
2024-05-04 21:05:00+00:00,63885.44140625,63936.78515625,63876.8671875,63936.78515625,63936.78515625,0
2024-05-04 21:10:00+00:00,63958.00390625,64004.0078125,63957.60546875,64004.0078125,64004.0078125,0
2024-05-04 21:15:00+00:00,64000.84375,64056.55078125,63988.953125,64056.55078125,64056.55078125,0
2024-05-04 21:20:00+00:00,64072.625,64072.625,64027.87890625,64052.2265625,64052.2265625,0
2024-05-04 21:25:00+00:00,64061.18359375,64114.640625,64061.18359375,64106.30859375,64106.30859375,0
2024-05-04 21:30:00+00:00,64033.72265625,64045.671875,63978.8046875,63978.8046875,63978.8046875,0
2024-05-04 21:35:00+00:00,63633.5546875,63690.51171875,63584.3828125,63584.3828125,63584.3828125,13039616
2024-05-04 21:40:00+00:00,63641.55078125,63726.25,63641.55078125,63726.25,63726.25,0
2024-05-04 21:45:00+00:00,63719.51171875,63741.0234375,63719.51171875,63740.01953125,63740.01953125,0
